From;Entry;
ENSG00000140600;Q99963;
ENSG00000140600;H3BRH8;
ENSG00000189401;Q7L8S5;
ENSG00000154127;Q8TF42;
ENSG00000197958;P30050;
ENSG00000104998;Q6UWB1;
ENSG00000160214;P56182;
ENSG00000160214;D6RE82;
ENSG00000278619;Q6IN84;
ENSG00000278619;A0A087WZC1;
ENSG00000048540;Q8TAP4;
ENSG00000048540;C9JE61;
ENSG00000048540;F5GYZ6;
ENSG00000048540;F5GZR3;
ENSG00000048540;F5H2N9;
ENSG00000048540;F5H3S4;
ENSG00000048540;F5H4K9;
ENSG00000048540;F5H4T0;
ENSG00000048540;F5H655;
ENSG00000048540;F6TDU8;
ENSG00000048540;Q05D86;
ENSG00000136159;Q9NV35;
ENSG00000166323;Q8NCR3;
ENSG00000166323;E9PQ22;
ENSG00000166323;H0YD27;
ENSG00000179133;Q8IYJ2;
ENSG00000179133;A0A1B0GUT5;
ENSG00000179133;A0A3B3IRX4;
ENSG00000179133;A0A6E1W0W4;
ENSG00000179133;A0A6E2AE84;
ENSG00000179133;Q5SXQ8;
ENSG00000153714;Q8IV03;
ENSG00000182771;Q9ULK0;
ENSG00000182771;G3V186;
ENSG00000163975;P08582;
ENSG00000163975;A0A8Q3WLY9;
ENSG00000163975;C9JVN1;
ENSG00000152939;Q8N4S9;
ENSG00000152939;A1BQX2;
ENSG00000152939;D6RA09;
ENSG00000152939;D6RAH8;
ENSG00000179115;Q9Y285;
ENSG00000179115;K7EK06;
ENSG00000179115;K7EPH2;
ENSG00000179115;K7ER00;
ENSG00000179115;K7ER16;
ENSG00000179115;K7ERS0;
ENSG00000072401;P51668;
ENSG00000072401;A0A087WW00;
ENSG00000167114;Q6P1M0;
ENSG00000172936;Q99836;
ENSG00000172936;A0A0A0MSI9;
ENSG00000172936;A0A3B3ITY3;
ENSG00000172936;A0A3F2YP85;
ENSG00000172936;A0A494C0J8;
ENSG00000172936;A0A8V8TP38;
ENSG00000164414;P78382;
ENSG00000164414;Q5W1L7;
ENSG00000183036;P48539;
ENSG00000183036;F6SSA2;
ENSG00000266714;A0A0J9YVN6;
ENSG00000266714;A0A0J9YW04;
ENSG00000266714;A0A0J9YW50;
ENSG00000266714;A0A0J9YWC2;
ENSG00000266714;A0A0J9YX32;
ENSG00000266714;A0A0J9YXA6;
ENSG00000266714;A0A0J9YXD6;
ENSG00000266714;A0A0J9YXG9;
ENSG00000266714;A0A0J9YXP9;
ENSG00000266714;A0A0J9YXR1;
ENSG00000266714;A0A0J9YY01;
ENSG00000266714;A0A0J9YYB3;
ENSG00000266714;A0A0J9YYJ7;
ENSG00000266714;A0A286YF23;
ENSG00000266714;A0A2R8YFM0;
ENSG00000266714;A0A8I5KYR5;
ENSG00000266714;A0A994J4K4;
ENSG00000157851;Q9BPU6;
ENSG00000157851;E7ESV0;
ENSG00000157851;E7EWB4;
ENSG00000157851;E9PHT0;
ENSG00000164329;Q6PIY7;
ENSG00000164329;D6RAF2;
ENSG00000187682;Q7Z444;
ENSG00000122952;O95229;
ENSG00000122952;A6NH27;
ENSG00000122952;R4GMS7;
ENSG00000144671;Q9Y267;
ENSG00000144671;F5H7H1;
ENSG00000110172;Q9UHD1;
ENSG00000110172;E9PHZ2;
ENSG00000110172;E9PIF7;
ENSG00000110172;E9PIZ4;
ENSG00000110172;E9PL00;
ENSG00000110172;E9PPQ5;
ENSG00000110172;E9PSD5;
ENSG00000176055;Q68D91;
ENSG00000110047;Q9H4M9;
ENSG00000110047;A0A024R571;
ENSG00000110047;C9IZH1;
ENSG00000110047;C9J2Z4;
ENSG00000110047;C9JC03;
ENSG00000110047;C9JDQ8;
ENSG00000110047;C9JIJ3;
ENSG00000151006;Q2L4Q9;
ENSG00000107485;P23771;
ENSG00000107485;A0A2R8Y2A9;
ENSG00000107485;A0A2R8Y4T2;
ENSG00000107485;A0A994J6H6;
ENSG00000091073;Q86UW9;
ENSG00000091073;C9IYX1;
ENSG00000091073;C9JEH4;
ENSG00000091073;C9JF39;
ENSG00000091073;C9JII1;
ENSG00000091073;C9JLU8;
ENSG00000091073;C9JS11;
ENSG00000091073;C9JVC8;
ENSG00000091073;C9JY61;
ENSG00000091073;E7ET89;
ENSG00000091073;H7C3B8;
ENSG00000178934;P47929;
ENSG00000101856;O00264;
ENSG00000196497;Q8TEX9;
ENSG00000196497;H0YK93;
ENSG00000196497;H0YKG5;
ENSG00000196497;H0YL92;
ENSG00000196497;H0YLV0;
ENSG00000196497;H0YMR4;
ENSG00000196497;H0YN07;
ENSG00000196497;H0YN14;
ENSG00000110079;Q96JQ5;
ENSG00000110079;A0A384MDW1;
ENSG00000110079;A0A3B3ITV6;
ENSG00000110079;A0A7P0T8A0;
ENSG00000110079;A0A7P0T9I4;
ENSG00000110079;A0A7P0TA01;
ENSG00000110079;A0A7P0TAE4;
ENSG00000110079;A0A7P0Z422;
ENSG00000110079;A0A7P0Z4L9;
ENSG00000110079;F8W866;
ENSG00000110079;H0YE49;
ENSG00000184056;Q9H267;
ENSG00000184056;F5H008;
ENSG00000184056;G3V3F9;
ENSG00000188730;Q2TAL6;
ENSG00000198003;A5D8V7;
ENSG00000198003;K7EN59;
ENSG00000198003;K7EPB4;
ENSG00000198003;K7EPK8;
ENSG00000162771;Q8IYT1;
ENSG00000144229;Q9C0I4;
ENSG00000144229;R4GMU2;
ENSG00000196776;Q08722;
ENSG00000196776;A0A2R8Y484;
ENSG00000196776;H0YC40;
ENSG00000196776;H7BYS8;
ENSG00000196700;Q96KM6;
ENSG00000102878;Q9ULV5;
ENSG00000102878;E5RG51;
ENSG00000102878;E5RHY0;
ENSG00000102878;E5RJV4;
ENSG00000102878;E5RK26;
ENSG00000102878;E7EWW4;
ENSG00000102878;H0YAR7;
ENSG00000102878;H0YAU2;
ENSG00000102878;H0YBG9;
ENSG00000102878;H0YBS6;
ENSG00000102878;H0YBT7;
ENSG00000102878;H0YC14;
ENSG00000102878;H0YC39;
ENSG00000165810;Q6UXG8;
ENSG00000165810;B7Z4Y8;
ENSG00000188997;Q4G0X4;
ENSG00000188997;E9PJJ5;
ENSG00000188997;E9PK99;
ENSG00000188997;E9PM10;
ENSG00000188997;E9PMS5;
ENSG00000188997;E9PRT1;
ENSG00000115694;O00506;
ENSG00000115694;C9J232;
ENSG00000115694;C9J6L2;
ENSG00000115694;C9J8E8;
ENSG00000115694;C9JCC0;
ENSG00000115694;C9JDH9;
ENSG00000115694;C9JFA1;
ENSG00000115694;C9JIH8;
ENSG00000115694;C9JJV0;
ENSG00000115694;C9JN58;
ENSG00000115694;C9K0M6;
ENSG00000115694;E7EM58;
ENSG00000115694;H7C279;
ENSG00000137404;Q8IXM6;
ENSG00000137404;H0Y6T6;
ENSG00000197748;Q8NDM7;
ENSG00000197748;A0A0C4DFU9;
ENSG00000197748;H0Y4U9;
ENSG00000197748;H7BZT8;
ENSG00000197748;Q5TA04;
ENSG00000197748;Q5TA05;
ENSG00000183570;P57721;
ENSG00000183570;E9PFP8;
ENSG00000183570;J3QT27;
ENSG00000136048;Q8N682;
ENSG00000136048;A0A0B4J256;
ENSG00000136048;H0YHJ0;
ENSG00000136048;H0YHV0;
ENSG00000206052;Q6PKX4;
ENSG00000206052;J3KTH4;
ENSG00000136925;Q5T7W7;
ENSG00000136925;A0A1Y8ELM0;
ENSG00000136925;Q5T7X0;
ENSG00000175646;P04553;
ENSG00000197782;O75290;
ENSG00000197782;A0A075B791;
ENSG00000197782;A0A075B796;
ENSG00000197782;A0A075B7B0;
ENSG00000197782;A0A0C4DG08;
ENSG00000197782;M0QXV4;
ENSG00000197782;M0QYL2;
ENSG00000235961;P0CW24;
ENSG00000102931;Q9Y2Y0;
ENSG00000102931;H3BM52;
ENSG00000102931;H3BU49;
ENSG00000139219;P02458;
ENSG00000125046;Q9Y2M2;
ENSG00000125046;A0A8V8TMK3;
ENSG00000125046;C9JAQ0;
ENSG00000125046;F8WDP2;
ENSG00000125046;F8WDV4;
ENSG00000125046;F8WED9;
ENSG00000125046;G5E9S6;
ENSG00000183778;Q9Y2C3;
ENSG00000183778;A0A0A0MS93;
ENSG00000167487;Q53HC5;
ENSG00000167487;M0QXE1;
ENSG00000167487;M0R049;
ENSG00000167487;M0R1N0;
ENSG00000167487;M0R1P3;
ENSG00000100612;Q9Y394;
ENSG00000100612;G3V5J0;
ENSG00000100612;H0YJ66;
ENSG00000100612;H0YJE4;
ENSG00000100612;H0YJR8;
ENSG00000196290;Q9GZT8;
ENSG00000196290;B8ZZI0;
ENSG00000196290;C9JN42;
ENSG00000196290;E7EXA3;
ENSG00000196290;H7C1A8;
ENSG00000152413;Q86YM7;
ENSG00000152413;Q86YM6;
ENSG00000135457;Q12800;
ENSG00000135457;A0A8I5KWR0;
ENSG00000135457;F8VWL0;
ENSG00000135457;F8VX55;
ENSG00000127955;P63096;
ENSG00000127955;A0A3B3IRK0;
ENSG00000127955;A0A3B3IS42;
ENSG00000127955;A0A3B3ITG4;
ENSG00000127955;A0A3B3ITM0;
ENSG00000127955;A0A3B3ITX3;
ENSG00000127955;A0A3B3IU77;
ENSG00000127955;A0A3B3IUA8;
ENSG00000166266;Q93034;
ENSG00000166266;E9PP19;
ENSG00000166266;H0YCA0;
ENSG00000130772;Q9BUE0;
ENSG00000120860;Q9Y3C0;
ENSG00000120860;F5GWI9;
ENSG00000120860;F5GXZ4;
ENSG00000120860;F5GXZ7;
ENSG00000120860;F5GZ97;
ENSG00000120860;F5H0A7;
ENSG00000120860;F5H2P1;
ENSG00000120860;H0YGN0;
ENSG00000214063;O14817;
ENSG00000214063;A8MVV6;
ENSG00000214063;E9PMX4;
ENSG00000214063;E9PN41;
ENSG00000214063;E9PPX8;
ENSG00000214063;E9PSH3;
ENSG00000214063;J3KNL1;
ENSG00000214063;J3KQ42;
ENSG00000182585;Q6UW88;
ENSG00000182585;A0PK19;
ENSG00000182585;H3BM13;
ENSG00000126107;Q5T447;
ENSG00000116455;Q9BQA1;
ENSG00000116455;H0Y711;
ENSG00000113494;P16471;
ENSG00000113494;D6R9E1;
ENSG00000113494;D6R9P5;
ENSG00000113494;D6R9V7;
ENSG00000113494;D6RAN9;
ENSG00000113494;D6RC67;
ENSG00000113494;D6RD41;
ENSG00000113494;D6RJC8;
ENSG00000187912;Q6ZS10;
ENSG00000187912;F8W1T8;
ENSG00000125255;Q12908;
ENSG00000135838;Q9BXD5;
ENSG00000135838;A0A087WZ70;
ENSG00000159685;Q9BRQ6;
ENSG00000159685;H0Y922;
ENSG00000159685;J3QTA6;
ENSG00000159685;J3QTB2;
ENSG00000143452;Q86X24;
ENSG00000143452;X6R751;
ENSG00000143452;X6RG95;
ENSG00000167916;Q2M2I5;
ENSG00000101435;Q9H4G1;
ENSG00000166426;P29762;
ENSG00000166426;B5MCB5;
ENSG00000196092;Q02548;
ENSG00000196092;C0KTE2;
ENSG00000196092;E7EQT0;
ENSG00000196092;E7ERK2;
ENSG00000196092;E7ERW5;
ENSG00000196092;E7ES87;
ENSG00000196092;H0YB47;
ENSG00000145107;Q96DZ7;
ENSG00000145107;C9JCD5;
ENSG00000145107;H7C405;
